접수번호,법인구분,고유번호,법인명,주식의종류,이름,관계,기초주식수,기초주식지분율,기말주식수,기말주식지분율,비고,보고서연도
20220324000698,Y,00176914,다우기술,보통주,김문기,계열사 임원,0,0.00,"6,604",0.02,신규선임,2021
20220324000698,Y,00176914,다우기술,보통주,양일홍,계열사 임원,0,0.00,"22,500",0.05,신규보고,2021
20220324000698,Y,00176914,다우기술,보통주,계,,"20,961,779",46.72,"20,990,883",46.79,-,2021
20220324000698,Y,00176914,다우기술,-,계,,-,-,-,-,-,2021
20230321001409,Y,00176914,다우기술,보통주,(주)다우데이타,본인,"20,278,000",45.20,"20,278,000",45.20,-,2022
20230321001409,Y,00176914,다우기술,보통주,(주)이머니,계열사,"162,400",0.36,"343,000",0.76,장내매수,2022
20230321001409,Y,00176914,다우기술,보통주,김익래,계열사 임원,"449,379",1.00,"498,670",1.11,장내매수,2022
20230321001409,Y,00176914,다우기술,보통주,김형주,기타,"40,000",0.09,"40,000",0.09,-,2022
20230321001409,Y,00176914,다우기술,보통주,김윤덕,계열사 임원,"17,000",0.04,"17,000",0.04,-,2022
20230321001409,Y,00176914,다우기술,보통주,정래현,계열사 임원,"10,000",0.02,"10,000",0.02,-,2022
20230321001409,Y,00176914,다우기술,보통주,신상범,계열사 임원,"5,000",0.01,"5,000",0.01,-,2022
20230321001409,Y,00176914,다우기술,보통주,김문기,계열사 임원,"6,604",0.02,"6,604",0.02,-,2022
20230321001409,Y,00176914,다우기술,보통주,양일홍,계열사 임원,"22,500",0.05,"22,500",0.05,-,2022
20230321001409,Y,00176914,다우기술,보통주,계,,"20,990,883",46.79,"21,220,774",47.30,-,2022
20230321001409,Y,00176914,다우기술,-,계,,-,-,-,-,-,2022
20210311001204,Y,00110893,대신증권,보통주,양홍석,본인,"3,976,804",7.83,"4,610,498",9.08,*시장매입 이연성과급,2020
20210311001204,Y,00110893,대신증권,보통주,안경환,특수관계인,"6,886",0.01,"6,886",0.01,-,2020
20210311001204,Y,00110893,대신증권,보통주,오익근,특수관계인,0,0.00,"13,788",0.03,*이연성과급,2020
